,stationCode,stationName,stationEName,stationAddrTw,stationAddrEn,stationTel,gps,Level,Link,Open,Line
0,0900,基隆,Keelung,基隆市中山區民治里1鄰中山一路16之 1號,"No. 16-1, Zhongshan 1st Rd, Zhongshan Dist., Keelung City",02-24263743,25.13401 121.74013,一等,/wiki/%E5%9F%BA%E9%9A%86%E8%BB%8A%E7%AB%99,1891-10-20,縱貫線、基隆捷運（規劃中）
1,0910,三坑,Sankeng,基隆市仁愛區德厚里龍安街 206 號,"No. 206, Long’an St., Ren`ai Dist., Keelung City",02-24230289,25.12305 121.74202,簡易,/wiki/%E4%B8%89%E5%9D%91%E8%BB%8A%E7%AB%99,2003-05-09,縱貫線
2,0920,八堵,Badu,基隆市暖暖區八南里八堵路 142 號,"No. 142, Badu Rd., Nuannuan Dist., Keelung City",02-24560841,25.10843 121.72898,二等,/wiki/%E5%85%AB%E5%A0%B5%E8%BB%8A%E7%AB%99,1899-07-20,縱貫線、宜蘭線
3,0930,七堵,Qidu,基隆市七堵區長興里東新街 2 號,"No. 2, Dongxin St., Qidu Dist., Keelung City",02-24553426,25.09294 121.71415,一等,/wiki/%E4%B8%83%E5%A0%B5%E8%BB%8A%E7%AB%99,1891-10-20,縱貫線
4,0940,百福,Baifu,基隆市七堵區堵南里明德三路 1 之 1 號,"No. 1-1, Mingde 3rd Rd., Qidu Dist., Keelung City",02-24528372,25.07803 121.69373,簡易,/wiki/%E7%99%BE%E7%A6%8F%E8%BB%8A%E7%AB%99,2007-05-08,縱貫線
5,0950,五堵,Wudu,新北市汐止區長安里長安路 17 號,"No. 17, Chang’an Rd., Xizhi Dist., New Taipei City",02-86476200,25.07784 121.66764,簡易,/wiki/%E4%BA%94%E5%A0%B5%E8%BB%8A%E7%AB%99,1902-06-01,縱貫線
6,0960,汐止,Xizhi,新北市汐止區信望里信義路 1 號,"No. 1, Xinyi Rd., Xizhi Dist., New Taipei City",02-26415096,25.06894 121.66244,二等,/wiki/%E6%B1%90%E6%AD%A2%E8%BB%8A%E7%AB%99,1891-10-20,縱貫線
7,0970,汐科,Xike,新北市汐止區大同里大同路二段 182 號,"No. 182, Sec. 2, Datong Rd., Xizhi Dist., New Taipei City",02-23815226#8730,25.06241 121.64669,簡易,/wiki/%E6%B1%90%E7%A7%91%E8%BB%8A%E7%AB%99,2007-12-30,縱貫線、民生汐止線(規劃中)基隆捷運線(規劃中)
8,0980,南港,Nangang,臺北市南港區南港里南港路一段 313 號,"No. 313, Sec. 1, Nangang Rd., Nangang Dist., Taipei City",02-27838645,25.05348 121.60706,一等,/wiki/%E5%8D%97%E6%B8%AF%E8%BB%8A%E7%AB%99,1899-07-20,臺灣鐵路縱貫線、北宜直線鐵路（規劃中）、基隆捷運（規劃中）、臺灣高鐵、板南線
9,0990,松山,Songshan,臺北市信義區永吉里松山路 11 號B1,"No. 11, Songshan Rd., Xinyi Dist., Taipei City",02-27673819,25.04936 121.57807,一等,/wiki/%E6%9D%BE%E5%B1%B1%E8%BB%8A%E7%AB%99_(%E5%8F%B0%E7%81%A3),1891-10-20,臺灣鐵路縱貫線、松山新店線、環狀線（規劃中）
10,1000,臺北,Taipei,臺北市中正區黎明里北平西路 3 號,"No. 3, Beiping W. Rd., Zhongzheng Dist., Taipei City",02-23713558,25.04771 121.51784,特等,/wiki/%E8%87%BA%E5%8C%97%E8%BB%8A%E7%AB%99,1891-10-20,臺鐵縱貫線、臺灣高鐵、淡水信義線、板南線、機場線
11,1010,萬華,Wanhua,臺北市萬華區富福里康定路 382 號,"No. 382, Kangding Rd., Wanhua Dist., Taipei City",02-23020481,25.03348 121.49984,一等,/wiki/%E8%90%AC%E8%8F%AF%E8%BB%8A%E7%AB%99,1901-08-25,縱貫線
12,1020,板橋,Banqiao,新北市板橋區新民里站前路,"No. 7, Sec. 2, Xianmin Blvd., Banqiao Dist., New Taipei City",02-89691036,25.01469 121.46352,一等,/wiki/%E6%9D%BF%E6%A9%8B%E8%BB%8A%E7%AB%99_(%E8%87%BA%E7%81%A3),1901-08-25,臺灣鐵路縱貫線、臺灣高鐵、板南線（板橋線）、環狀線
13,1030,浮洲,Fuzhou,新北市板橋區僑中里僑中二街 156 號,"No. 156, Qiaozhong 2nd St., Banqiao Dist., New Taipei City",02-23815226#4665,25.00419 121.44477,簡易,/wiki/%E6%B5%AE%E6%B4%B2%E8%BB%8A%E7%AB%99,2011-09-02,縱貫線、泰山板橋輕軌
14,1040,樹林,Shulin,新北市樹林區樹北里鎮前街 112 號,"No. 112, Zhenqian St., Shulin Dist., New Taipei City",02-26812052,24.99121 121.42481,一等,/wiki/%E6%A8%B9%E6%9E%97%E8%BB%8A%E7%AB%99,1901-08-25,縱貫線
15,1050,南樹林,South Shulin,新北市樹林區東山里中山路二段 230 號,"No. 230, Sec. 2, Zhongshan Rd., Shulin Dist., New Taipei City",02-26812052,24.98034 121.40891,簡易,/wiki/%E5%8D%97%E6%A8%B9%E6%9E%97%E8%BB%8A%E7%AB%99,2015-12-23,縱貫線
16,1060,山佳,Shanjia,新北市樹林區中山里山佳街 28 號,"No. 28, Shanjia St., Shulin Dist., New Taipei City",02-26808874,24.97233 121.39273,三等,/wiki/%E5%B1%B1%E4%BD%B3%E8%BB%8A%E7%AB%99,1903-10-07,縱貫線
17,1070,鶯歌,Yingge,新北市鶯歌區東鶯里文化路 68 號,"No. 68, Wenhua Rd., Yingge Dist., New Taipei City",02-26792004,24.95432 121.35535,二等,/wiki/%E9%B6%AF%E6%AD%8C%E8%BB%8A%E7%AB%99,1903-10-07,縱貫線、三鶯線（興建中）三鶯纜車（全案暫緩）
18,1080,桃園,Taoyuan,桃園市桃園區武陵里中正路 1 號,"No. 1, Zhongzheng Rd., Taoyuan Dist., Taoyuan City",03-3767050,24.98941 121.31399,一等,/wiki/%E6%A1%83%E5%9C%92%E8%BB%8A%E7%AB%99_(%E8%87%BA%E9%90%B5),1893-10-30,縱貫線、綠線（興建中）、棕線（規劃中）
19,1090,內壢,Neili,桃園市中壢區中原里中華路一段 267 號,"No. 267, Sec. 1, Zhonghua Rd., Zhongli Dist., Taoyuan City",03-4559725,24.97287 121.25814,三等,/wiki/%E5%85%A7%E5%A3%A2%E8%BB%8A%E7%AB%99,1902-06-01,縱貫線
20,1100,中壢,Zhongli_Taoyuan,桃園市中壢區石頭里中和路 139 號,"No. 139, Zhonghe Rd., Zhongli Dist., Taoyuan City",03-4223235,24.95382 121.22571,一等,/wiki/%E4%B8%AD%E5%A3%A2%E8%BB%8A%E7%AB%99,1893-10-30,縱貫線、機場線（興建中）
21,1110,埔心,Puxin,桃園市楊梅區埔心里永美路 208 號,"No. 208, Yongmei Rd., Yangmei Dist., Taoyuan City",03-4827100,24.91945 121.18366,三等,/wiki/%E5%9F%94%E5%BF%83%E8%BB%8A%E7%AB%99,1900-04-10,縱貫線
22,1120,楊梅,Yangmei,桃園市楊梅區楊梅里大成路 256 號,"No. 256, Dacheng Rd., Yangmei Dist., Taoyuan City",03-4782893,24.91391 121.14634,三等,/wiki/%E6%A5%8A%E6%A2%85%E8%BB%8A%E7%AB%99,1893-10-30,縱貫線
23,1130,富岡,Fugang,桃園市楊梅區富岡里成功路 37 號,"No. 37, Chenggong Rd., Yangmei Dist., Taoyuan City",03-4723754,24.93462 121.08313,三等,/wiki/%E5%AF%8C%E5%B2%A1%E8%BB%8A%E7%AB%99_(%E8%87%BA%E9%90%B5),1929-10-01,縱貫線
24,1140,新富,Xinfu,桃園市楊梅區富豐里富全街 1 號,"No. 1, Fuquan St., Yangmei Dist., Taoyuan City",03-4723754,24.93107 121.06759,招呼,/wiki/%E6%96%B0%E5%AF%8C%E8%BB%8A%E7%AB%99,2017-09-06,縱貫線
25,1150,北湖,Beihu,新竹縣湖口鄉東興村北湖路 1 號,"No. 1, Beihu Rd., Hukou Township, Hsinchu County",03-5993850,24.92191 121.05586,甲簡,/wiki/%E5%8C%97%E6%B9%96%E8%BB%8A%E7%AB%99,2012-09-28,縱貫線
26,1160,湖口,Hukou,新竹縣湖口鄉仁勢村中山路二段 121 號,"No. 121, Sec. 2, Zhongshan Rd., Hukou Township, Hsinchu County",03-5992192,24.90292 121.04412,三等,/wiki/%E6%B9%96%E5%8F%A3%E8%BB%8A%E7%AB%99,1929-11-01,縱貫線
27,1170,新豐,Xinfeng,新竹縣新豐鄉山崎村新興路 202 號,"No. 202, Xinxing Rd., Xinfeng Township, Hsinchu County",03-5596314,24.86961 120.99654,三等,/wiki/%E6%96%B0%E8%B1%90%E8%BB%8A%E7%AB%99,1893-11-30,縱貫線
28,1180,竹北,Zhubei,新竹縣竹義里和平街 59 號,"No. 59, Heping St., , Hsinchu County",03-5552024,24.83892 121.00936,三等,/wiki/%E7%AB%B9%E5%8C%97%E8%BB%8A%E7%AB%99,1897-09-10,縱貫線
29,1190,北新竹,North Hsinchu,新竹市 東區東園里中華路一段 291 之 2 號,"No. 291-2, Sec. 1, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.80876 120.98385,簡易,/wiki/%E5%8C%97%E6%96%B0%E7%AB%B9%E8%BB%8A%E7%AB%99,2011-11-11,縱貫線、內灣線
30,1191,千甲,Qianjia,新竹市 東區水源里千甲路 142 號,"No. 142, Qianjia Rd.,  , Hsinchu City",03-5237441,24.80669 121.00301,簡易,/wiki/%E5%8D%83%E7%94%B2%E8%BB%8A%E7%AB%99,2011-11-11,內灣線
31,1192,新莊,Xinzhuang,新竹市 東區新莊里關東路 310 號,"No. 310, Guandong Rd.,  , Hsinchu City",03-5237441,24.78819 121.02182,簡易,/wiki/%E6%96%B0%E8%8E%8A%E8%BB%8A%E7%AB%99_(%E6%96%B0%E7%AB%B9%E5%B8%82),2011-11-11,內灣線
32,1193,竹中,Zhuzhong,新竹縣竹東鎮頭重里竹中路 145 號,"No. 145, Zhuzhong Rd., Zhudong Township, Hsinchu County",03-5962042,24.78125 121.03117,甲簡,/wiki/%E7%AB%B9%E4%B8%AD%E8%BB%8A%E7%AB%99,1947-11-05,內灣線、六家線
33,1194,六家,Liujia,新竹縣竹北市隘口里復興三路二段 229 號,"No. 229, Sec. 2, Fuxing 3rd Rd., Zhubei City, Hsinchu County",03-5962042,24.80751 121.03921,乙簡,/wiki/%E5%85%AD%E5%AE%B6%E8%BB%8A%E7%AB%99,2011-11-11,六家線
34,1201,上員,Shangyuan,新竹縣竹東鎮上員里光明路 (無站房),"Guangming Rd. (No Station Building), Zhudong Township, Hsinchu County",03-5962042,24.77797 121.05554,招呼,/wiki/%E4%B8%8A%E5%93%A1%E8%BB%8A%E7%AB%99,1970-02-06,內灣線
35,1202,榮華,Ronghua,新竹縣竹東鎮仁愛里北興路 (無站房),"Beixing Rd. (No Station Building), Zhudong Township, Hsinchu County",03-5962042,24.74851 121.08296,招呼,/wiki/%E6%A6%AE%E8%8F%AF%E8%BB%8A%E7%AB%99,2001-11-24,內灣線
36,1203,竹東,Zhudong,新竹縣竹東鎮雞林里東林路 196 號,"No. 196, Donglin Rd., Zhudong Township, Hsinchu County",03-5962042,24.73811 121.09465,二等,/wiki/%E7%AB%B9%E6%9D%B1%E8%BB%8A%E7%AB%99,1947-11-05,內灣線
37,1204,橫山,Hengshan,新竹縣橫山鄉橫山村橫山路 97 號 (無站房),"No. 97, Hengshan Rd. (No Station Building), Hengshan Township, Hsinchu County",03-5962042,24.72051 121.11657,招呼,/wiki/%E6%A9%AB%E5%B1%B1%E8%BB%8A%E7%AB%99_(%E6%96%B0%E7%AB%B9%E7%B8%A3),1950-12-27,內灣線
38,1205,九讚頭,Jiuzantou,新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,"No. 29, Ln. 286, Sec. 2, Zhongfeng Rd., Hengshan Township, Hsinchu County",03-5962042,24.72068 121.13621,乙簡,/wiki/%E4%B9%9D%E8%AE%9A%E9%A0%AD%E8%BB%8A%E7%AB%99,1950-12-27,內灣線
39,1206,合興,Hexing,新竹縣橫山鄉力行村中山街一段 17 號,"No. 17, Sec. 1, Zhongshan St., Hengshan Township, Hsinchu County",03-5962042,24.71649 121.15434,招呼,/wiki/%E5%90%88%E8%88%88%E8%BB%8A%E7%AB%99,1950-12-27,內灣線
40,1207,富貴,Fugui,新竹縣橫山鄉豐田村中山街一段 (無站房),"Sec. 1, Zhongshan St. (No Station Building), Hengshan Township, Hsinchu County",03-5962042,24.71553 121.16729,招呼,/wiki/%E5%AF%8C%E8%B2%B4%E8%BB%8A%E7%AB%99,1962-11-28,內灣線
41,1208,內灣,Neiwan,新竹縣橫山鄉內灣村中正路 6 號,"No. 6, Zhongzheng Rd., Hengshan Township, Hsinchu County",03-5962042,24.70526 121.18247,乙簡,/wiki/%E5%85%A7%E7%81%A3%E8%BB%8A%E7%AB%99,1951-09-11,內灣線
42,1210,新竹,Hsinchu,新竹市 東區榮光里中華路二段 445 號,"No. 445, Sec. 2, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.80169 120.97156,一等,/wiki/%E6%96%B0%E7%AB%B9%E8%BB%8A%E7%AB%99,1893-10-30,縱貫線、內灣線
43,1220,三姓橋,Sanxingqiao,新竹市 香山區香山里元培街 32 巷 30 號,"No. 30, Ln. 32, Yuanpei St.,  , Hsinchu City",03-5237441,24.78723 120.92838,簡易,/wiki/%E4%B8%89%E5%A7%93%E6%A9%8B%E8%BB%8A%E7%AB%99,2016-06-29,縱貫線
44,1230,香山,Xiangshan,新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,"No. 27, Aly. 2, Ln. 347, Sec. 5, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.76321 120.91391,甲簡,/wiki/%E9%A6%99%E5%B1%B1%E8%BB%8A%E7%AB%99_(%E8%87%BA%E7%81%A3),1902-08-10,縱貫線
45,1240,崎頂,Qiding,苗栗縣竹南鎮崎頂里北戶 55 號,"No. 55, Beihu, Zhunan Township, Miaoli County",037-472030,24.72281 120.87213,招呼,/wiki/%E5%B4%8E%E9%A0%82%E8%BB%8A%E7%AB%99,1928-03-12,縱貫線
46,1250,竹南,Zhunan,苗栗縣竹南鎮竹南里中山路 166 號,"No. 166, Zhongshan Rd., Zhunan Township, Miaoli County",037-472030,24.68663 120.88041,一等,/wiki/%E7%AB%B9%E5%8D%97%E8%BB%8A%E7%AB%99,1902-08-10,縱貫線、臺中線、海岸線
47,2110,談文,Tanwen,苗栗縣造橋鄉談文村仁愛路 29 號,"No. 29, Ren’ai Rd., Zaoqiao Township, Miaoli County",037-472030,24.65641 120.85825,招呼,/wiki/%E8%AB%87%E6%96%87%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
48,2120,大山,Dashan,苗栗縣後龍鎮大山里明山路 180 號,"No. 180, Mingshan Rd., Houlong Township, Miaoli County",037-728616,24.64565 120.80376,甲簡,/wiki/%E5%A4%A7%E5%B1%B1%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
49,2130,後龍,Houlong,苗栗縣後龍鎮北龍里車站街 127-2 號,"No. 127, Chezhan St., Houlong Township, Miaoli County",037-728616,24.61621 120.78731,三等,/wiki/%E5%BE%8C%E9%BE%8D%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
50,2140,龍港,Longgang,苗栗縣後龍鎮龍京里公司寮 85 號,"No. 85, Gongsiliao, Houlong Township, Miaoli County",037-728616,24.61169 120.75812,招呼,/wiki/%E9%BE%8D%E6%B8%AF%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
51,2150,白沙屯,Baishatun,苗栗縣通霄鎮白西里白西 131 號,"No. 131, Baixi, Tongxiao Township, Miaoli County",037-793066,24.56481 120.70824,三等,/wiki/%E7%99%BD%E6%B2%99%E5%B1%AF%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
52,2160,新埔,Xinpu,苗栗縣通霄鎮新埔里新埔 57 號,"No. 57, Xinpu, Tongxiao Township, Miaoli County",037-793066,24.54018 120.69518,乙簡,/wiki/%E6%96%B0%E5%9F%94%E8%BB%8A%E7%AB%99_(%E8%8B%97%E6%A0%97%E7%B8%A3),1922-10-11,海岸線
53,2170,通霄,Tongxiao,苗栗縣通霄鎮通西里中正路 109 號,"No. 109, Zhongzhen Rd., Tongxiao Township, Miaoli County",037-758300,24.49141 120.67843,三等,/wiki/%E9%80%9A%E9%9C%84%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
54,2180,苑裡,Yuanli,苗栗縣苑裡鎮苑北里中山路 165 號,"No. 165, Zhongshan Rd., Yuanli Township, Miaoli County",037-851013,24.44344 120.65146,三等,/wiki/%E8%8B%91%E8%A3%A1%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
55,2190,日南,Rinan,臺中市大甲區孟春里中山路二段 140 巷 8 號,"No. 8, Ln. 140, Sec. 2, Zhongshan Rd., Dajia Dist., Taichung City",04-26816113,24.37805 120.65412,乙簡,/wiki/%E6%97%A5%E5%8D%97%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
56,2200,大甲,Dajia,臺中市大甲區大甲里中山路一段 828 號,"No. 828, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City",04-26872022,24.34448 120.62702,二等,/wiki/%E5%A4%A7%E7%94%B2%E8%BB%8A%E7%AB%99,1922-10-11,海岸線
57,2210,臺中港,Taichung Port,臺中市清水區頂湳里甲南路 2 號,"No. 2, Jianan Rd., Qingshui Dist., Taichung City",04-26225374,24.30441 120.60231,二等,/wiki/%E5%8F%B0%E4%B8%AD%E6%B8%AF%E8%BB%8A%E7%AB%99,1922-10-11,海岸線、台中港線
58,2220,清水,Qingshui,臺中市南社里中正街 115 號,"No. 115, Zhongzheng St., , Taichung City",04-26222021,24.26364 120.56918,三等,/wiki/%E6%B8%85%E6%B0%B4%E8%BB%8A%E7%AB%99_(%E5%8F%B0%E7%81%A3),1920-12-25,海岸線
59,2230,沙鹿,Shalu,臺中市沙鹿區沙鹿里中正街 94 號,"No. 94, Zhongzheng St., Shalu Dist., Taichung City",04-26625057,24.23702 120.55752,二等,/wiki/%E6%B2%99%E9%B9%BF%E8%BB%8A%E7%AB%99,1920-12-25,海岸線、藍線（綜合規劃由交通部審核中）
60,2240,龍井,Longjing,臺中市龍井區龍泉里龍新路 1 號,"No. 1, Longxin Rd., Longjing Dist., Taichung City",04-26355578,24.19745 120.54336,三等,/wiki/%E9%BE%8D%E4%BA%95%E8%BB%8A%E7%AB%99,1920-12-25,海岸線
61,2250,大肚,Dadu,臺中市大肚區頂街里平和街 121 號,"No. 121, Pinghe St., Dadu Dist., Taichung City",04-26992523,24.15401 120.54255,三等,/wiki/%E5%A4%A7%E8%82%9A%E8%BB%8A%E7%AB%99,1920-12-25,海岸線
62,2260,追分,Zhuifen,臺中市大肚區王田里追分街 13 號,"No. 13, Zhuifen St., Dadu Dist., Taichung City",04-26933106,24.12061 120.57014,三等,/wiki/%E8%BF%BD%E5%88%86%E8%BB%8A%E7%AB%99,1922-10-11,海岸線、成追線
63,3140,造橋,Zaoqiao,苗栗縣造橋鄉造橋村平仁路 54 號,"No. 54, Pingren Rd., Zaoqiao Township, Miaoli County",037-472030,24.64206 120.86719,招呼,/wiki/%E9%80%A0%E6%A9%8B%E8%BB%8A%E7%AB%99,1903-05-25,臺中線
64,3150,豐富,Fengfu,苗栗縣後龍鎮校椅里高鐵一路 66 號,"No. 66, Gaotie 1st Rd., Houlong Township, Miaoli County",037-726700,24.60131 120.82357,簡易,/wiki/%E8%B1%90%E5%AF%8C%E8%BB%8A%E7%AB%99,1903-05-25,臺中線
65,3160,苗栗,Miaoli,苗栗縣上苗里為公路 1 號,"No. 1, Weigong Rd., , Miaoli County",037-260031,24.57002 120.82264,一等,/wiki/%E8%8B%97%E6%A0%97%E8%BB%8A%E7%AB%99,1903-05-25,臺中線
66,3170,南勢,Nanshi,苗栗縣苗栗市新英里南勢 39 號,"No. 39, Nanshi, Miaoli City, Miaoli County",037-260031,24.52234 120.79157,招呼,/wiki/%E5%8D%97%E5%8B%A2%E8%BB%8A%E7%AB%99,1903-07-01,臺中線
67,3180,銅鑼,Tongluo,苗栗縣銅鑼鄉銅鑼村大同路 13 號,"No. 13, Datong Rd., Tongluo Township, Miaoli County",037-983838,24.48648 120.78616,三等,/wiki/%E9%8A%85%E9%91%BC%E8%BB%8A%E7%AB%99,1903-10-07,臺中線
68,3190,三義,Sanyi,苗栗縣三義鄉雙湖村雙湖 90 號,"No. 90, Shuanghu, Sanyi Township, Miaoli County",037-874763,24.42066 120.77393,三等,/wiki/%E4%B8%89%E7%BE%A9%E8%BB%8A%E7%AB%99,1903-10-07,臺中線、舊山線
69,3210,泰安,Tai'an,臺中市后里區泰安里安眉路 37 之 12 號,"No. 37-12, Anmei Rd., Houli Dist., Taichung City",04-25586540,24.33146 120.74181,簡易,/wiki/%E6%B3%B0%E5%AE%89%E8%BB%8A%E7%AB%99_(%E5%8F%B0%E4%B8%AD%E7%B7%9A),1998-09-24,臺中線
70,3220,后里,Houli,臺中市后里區義里里甲后路一段 1 號,"No. 1, Jiahou Rd., Houli Dist., Taichung City",04-25562038,24.30933 120.73288,三等,/wiki/%E5%90%8E%E9%87%8C%E8%BB%8A%E7%AB%99,1905-05-15,臺中線
71,3230,豐原,Fengyuan,臺中市豐原區豐原里中正路 1 號,"No. 1, Zhongzheng Rd., Fengyuan Dist., Taichung City",04-25207950#32,24.25413 120.72291,一等,/wiki/%E8%B1%90%E5%8E%9F%E8%BB%8A%E7%AB%99,1905-05-15,臺中線
72,3240,栗林,Lilin,臺中市潭子區潭豐路二段747號,"No. 747, Section 2, Tanfeng Road, Tanzi Dist., Taichung City",04-25391401,24.23481 120.71069,簡易,/wiki/%E6%A0%97%E6%9E%97%E8%BB%8A%E7%AB%99_(%E8%87%BA%E7%81%A3),2018-10-28,臺中線
73,3250,潭子,Tanzi,臺中市潭子區中山路二段352-1號,"No. 352-1, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City",04-25363852,24.21283 120.70557,三等,/wiki/%E6%BD%AD%E5%AD%90%E8%BB%8A%E7%AB%99,1905-05-15,臺中線
74,3260,頭家厝,Toujiacuo,臺中市潭子區頭張東路43巷8號,"No. 8, Ln. 43, Touzhang E. Rd., Tanzi Dist., Taichung City",04-25391426,24.19572 120.70398,簡易,/wiki/%E9%A0%AD%E5%AE%B6%E5%8E%9D%E8%BB%8A%E7%AB%99,2018-10-28,臺中線
75,3270,松竹,Songzhu,臺中市北屯區舊社里松竹路一段1473巷100號,"No. 100, Ln. 1473, Sec. 1, Songzhu Rd., Taiwan (R.O.C.), Beitun Dist., Taichung City",04-22473033,24.17983 120.70197,簡易,/wiki/%E6%9D%BE%E7%AB%B9%E8%BB%8A%E7%AB%99,2018-10-28,臺中線
76,3280,太原,Taiyuan,臺中市北屯區北興里東光路 665 號,"No. 665, Dongguang Rd., Beitun Dist., Taichung City",04-22313926,24.16413 120.69981,乙簡,/wiki/%E5%A4%AA%E5%8E%9F%E8%BB%8A%E7%AB%99,2002-11-22,臺中線
77,3290,精武,Jingwu,臺中市東區東南里東光路 161號,"No. 161, Dongguang Rd., Taiwan (R.O.C.)No. 194, Dongguang Rd., East Dist., Taichung City",04-23606501,24.14917 120.69773,簡易,/wiki/%E7%B2%BE%E6%AD%A6%E8%BB%8A%E7%AB%99,2018-10-28,臺中線
